,drugname_brand,drugname_generic,claim_count,total_spending,user_count,total_spending_per_user,unit_count,unit_cost_wavg,user_count_non_lowincome,out_of_pocket_avg_non_lowincome,user_count_lowincome,out_of_pocket_avg_lowincome
0,10 WASH,SULFACETAMIDE SODIUM,24,1569.19,16.0,98.074375,5170.0,0.3035183752,,,,
1,1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",2472,57666.73,893.0,64.576405375,293160.0,0.1967660328,422.0,42.347203791,471.0,7.5458598726
2,60PSE-400GFN-20DM,GUAIFENESIN/DM/PSEUDOEPHEDRINE,12,350.1,11.0,31.827272727,497.0,0.7044265594,,,,
3,8-MOP,METHOXSALEN,11,9003.26,,,298.0,30.212281879,,,,
4,A-B OTIC,ANTIPYRINE/BENZOCAINE,30,212.86,29.0,7.34,451.0,0.4719733925,,,,
5,ABELCET,AMPHOTERICIN B LIPID COMPLEX,363,455566.1,97.0,4696.557732,49027.0,9.2921471842,49.0,402.04795918,48.0,6.4125
6,ABILIFY,ARIPIPRAZOLE,2447965,1469661103.0,360675.0,4074.7517931,77474808.629,19.218620662,57408.0,466.0258943,303267.0,23.082797139
7,ABILIFY DISCMELT,ARIPIPRAZOLE,4677,3929705.8,961.0,4089.183975,189351.5,20.753897074,83.0,439.87638554,878.0,22.165580866
8,ABRAXANE,PACLITAXEL PROTEIN-BOUND,233,950703.38,51.0,18641.242745,975.0,975.08038974,14.0,1262.6871429,37.0,4.6054054054
9,ABSTRAL,FENTANYL CITRATE,82,123813.83,32.0,3869.1821875,5458.0,21.28904455,,,,
10,ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,432,89539.96,289.0,309.82685121,21601.0,4.1451664738,134.0,104.13858209,155.0,5.484516129
11,ACARBOSE,ACARBOSE,171071,11693362.63,32843.0,356.03820083,18845023.13,0.6200326418,15297.0,66.968046676,17546.0,7.4039336601
12,ACCOLATE,ZAFIRLUKAST,21924,2619497.33,6409.0,408.72169293,1436161.4,1.8235789604,2871.0,179.7795263,3538.0,13.27503957
13,ACCUNEB,ALBUTEROL SULFATE,120,7415.18,90.0,82.390888889,12921.0,0.5736623739,,,,
14,ACCUPRIL,QUINAPRIL HCL,8052,767824.89,1786.0,429.9131523,438176.6,1.7523967178,1259.0,242.10450357,527.0,22.965294118
15,ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,870,80475.08,209.0,385.04822967,46820.0,1.7166898813,145.0,252.08627586,64.0,16.4584375
16,ACCUSURE,"SYRING W-NDL,DISP,INSUL,0.5 ML",889,16181.52,326.0,49.636564417,77262.0,0.2093434816,76.0,12.507105263,250.0,8.11608
17,ACCUSURE,"SYRINGE AND NEEDLE,INSULIN,1ML",768,13543.21,269.0,50.346505576,64046.0,0.2111381397,125.0,10.12672,144.0,9.5736111111
18,ACEBUTOLOL HCL,ACEBUTOLOL HCL,127745,3499407.46,20981.0,166.78935513,9501688.222,0.3698130796,17349.0,59.509665687,3632.0,12.229388767
19,ACEON,PERINDOPRIL ERBUMINE,2605,287874.22,685.0,420.25433577,120094.0,2.3864850089,507.0,237.18585799,178.0,18.836179775
20,ACETAMINOPH-CAFF-DIHYDROCODEIN,DHCODEINE BT/ACETAMINOPHN/CAFF,4997,484572.16,1582.0,306.30351454,340065.0,1.4249398203,635.0,105.18351181,947.0,6.9556177402
21,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,2803822,37536168.31,1192417.0,31.479061696,172267021.29,0.2256168452,600518.0,13.583327294,591899.0,3.2354040132
22,ACETASOL HC,ACETIC ACID/HYDROCORTISONE,4607,854951.74,3546.0,241.10314157,59926.0,14.266791376,2050.0,30.414619512,1496.0,2.8821657754
23,ACETAZOLAMIDE,ACETAZOLAMIDE,225803,12894882.41,73929.0,174.42251904,12904598.701,1.1490701863,43674.0,29.13826075,30255.0,5.0257504545
24,ACETIC ACID,ACETIC ACID,44440,1267348.39,22923.0,55.28719583,30189249.3,1.1869179181,11382.0,10.08842207,11541.0,1.7548098085
25,ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,5859,368425.19,4271.0,86.262044018,360681.0,1.0214710229,2615.0,10.944156788,1656.0,1.6754951691
26,ACETYLCYSTEINE,ACETYLCYSTEINE,35634,1555542.51,14055.0,110.67538314,2464842.1,0.6331998374,5865.0,15.124383632,8190.0,0.9638547009
27,ACID JELLY,ACETIC AC/RICINOLEIC/OXYQUINOL,229,8237.44,136.0,60.569411765,23690.0,0.3477180245,111.0,25.693963964,25.0,2.4816
28,ACIPHEX,RABEPRAZOLE SODIUM,404412,131889812.65,88282.0,1493.960407,18216152.511,7.2402672612,44579.0,315.6039292,43703.0,21.152397089
29,ACLOVATE,ALCLOMETASONE DIPROPIONATE,61,4452.64,48.0,92.763333333,2220.0,2.1330088981,27.0,36.903333333,21.0,2.419047619
30,ACTEMRA,TOCILIZUMAB,1611,2318580.04,223.0,10397.21991,54228.0,53.900976787,89.0,1155.3946067,134.0,23.447462687
31,ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,259,7972.28,238.0,33.49697479,372.5,21.40209396,190.0,19.147263158,48.0,3.7825
32,ACTICIN,PERMETHRIN,2112,45032.37,1715.0,26.257941691,144989.0,0.3105916311,541.0,9.4350092421,1174.0,1.7145911414
33,ACTIGALL,URSODIOL,787,427525.11,163.0,2622.8534356,81286.0,5.259517137,92.0,555.65434783,71.0,13.38028169
34,ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.",601,4338256.97,76.0,57082.328553,5653.5,767.35773768,41.0,3472.2346341,35.0,26.877428571
35,ACTIQ,FENTANYL CITRATE,1118,10349948.57,158.0,65506.003608,122905.0,77.51095588,41.0,1734.7,117.0,22.783760684
36,ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,10536,1237658.79,2841.0,435.64195354,424194.111,2.9235016308,2141.0,285.72715086,700.0,18.241585714
37,ACTONEL,RISEDRONATE SODIUM,1556284,242348288.33,311086.0,779.03952068,6732428.481,61.437031807,189688.0,284.26125395,121398.0,23.50605982
38,ACTONEL WITH CALCIUM,RISEDRONATE SOD/CALCIUM CARB,51,4818.16,27.0,178.45037037,1376.0,3.5015697674,12.0,47.218333333,15.0,12.206666667
39,ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,425375,123320978.04,77250.0,1596.3880652,31470918.333,3.9186724582,38285.0,342.82526211,38965.0,29.793466444
40,ACTOPLUS MET XR,PIOGLITAZONE HCL/METFORMIN HCL,6252,1845632.48,2113.0,873.4654425,360508.0,5.5077461148,1286.0,260.48754277,827.0,17.542430472
41,ACTOS,PIOGLITAZONE HCL,4484645,1294152165.4,778712.0,1661.9137311,184549604.23,7.1136812809,376150.0,338.94200912,402562.0,29.919584312
42,ACUFLEX,ACETAMINOPHEN/PHENYLTOLX,50,4575.98,24.0,190.66583333,3412.0,1.3411430246,13.0,53.795384615,11.0,4.7563636364
43,ACULAR,KETOROLAC TROMETHAMINE,3704,452419.45,2141.0,211.31221392,21692.5,20.856030886,1075.0,78.781144186,1066.0,6.328564728
44,ACULAR LS,KETOROLAC TROMETHAMINE,6188,724099.57,3663.0,197.67938029,33562.0,21.574982719,2294.0,80.633971229,1369.0,7.2323520818
45,ACUVAIL,KETOROLAC TROMETHAMINE/PF,20719,3000401.3,15153.0,198.00708111,735916.5,4.0770947519,11079.0,73.86417998,4074.0,7.4862714777
46,ACYCLOVIR,ACYCLOVIR,1042311,22751482.71,434279.0,52.389092519,61684272.256,0.3910865953,272649.0,18.083346647,161630.0,3.1715257687
47,ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,338,85358.64,168.0,508.08714286,101946.91,0.9041454339,67.0,69.443731343,101.0,1.4247524752
48,ACZONE,DAPSONE,2121,519176.38,1158.0,448.33884283,98520.0,5.2697561916,700.0,104.01264286,458.0,8.9410262009
49,ADACEL TDAP,"DIPH,PERTUSS(ACELL),TET VAC/PF",119038,6021775.49,118181.0,50.953837673,112057.034,56.598735037,97885.0,25.55673382,20296.0,3.5695585337
50,ADALAT CC,NIFEDIPINE,4725,450533.75,968.0,465.42742769,212248.0,2.1464106807,606.0,282.95466997,362.0,22.901878453
51,ADAPALENE,ADAPALENE,5116,885639.89,2869.0,308.69288602,243368.0,3.6419139038,1221.0,53.252833743,1648.0,2.6937135922
52,ADCIRCA,TADALAFIL,25251,31488476.96,4068.0,7740.5302262,1536087.588,20.499141589,2146.0,1198.6460065,1922.0,36.40925078
