,drugname_brand,drugname_generic,claim_count,total_spending,user_count,total_spending_per_user,unit_count,unit_cost_wavg,user_count_non_lowincome,out_of_pocket_avg_non_lowincome,user_count_lowincome,out_of_pocket_avg_lowincome
0,1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",6788,150749.66,2769.0,54.441914048,813255.0,0.1853521963,1481.0,32.143274814,1288.0,5.1329891304
1,1ST TIER UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",1137,27282.97,619.0,44.075880452,137290.0,0.1987251074,313.0,23.865782748,306.0,2.619869281
2,ABACAVIR,ABACAVIR SULFATE,68259,27961706.56,9076.0,3080.8402997,4341049.99,6.4412311824,1870.0,263.71797326,7206.0,7.3655800722
3,ABACAVIR-LAMIVUDINE-ZIDOVUDINE,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,12201,17167220.41,1821.0,9427.3588193,766713.0,22.390673446,388.0,825.37128866,1433.0,11.766329379
4,ABELCET,AMPHOTERICIN B LIPID COMPLEX,419,514240.2,116.0,4433.1051724,55290.0,9.3007813348,78.0,351.80871795,38.0,4.3907894737
5,ABILIFY,ARIPIPRAZOLE,2964075,2527319031.6,405160.0,6237.8295775,88198691.024,28.969356885,78377.0,552.00260012,326783.0,19.383235633
6,ABILIFY DISCMELT,ARIPIPRAZOLE,5186,6282391.38,951.0,6606.0897792,198161.0,31.703589503,85.0,546.04317647,866.0,10.375242494
7,ABILIFY MAINTENA,ARIPIPRAZOLE,54759,83362843.56,9639.0,8648.4950265,55133.6,1512.1101989,255.0,872.14909804,9384.0,13.429633419
8,ABRAXANE,PACLITAXEL PROTEIN-BOUND,835,4546656.69,257.0,17691.271167,5000.0,909.331338,110.0,1295.597,147.0,9.6775510204
9,ABSORICA,ISOTRETINOIN,239,306824.58,115.0,2668.0398261,11791.0,25.976187463,46.0,288.80978261,69.0,8.2350724638
10,ABSTRAL,FENTANYL CITRATE,612,3820093.09,210.0,18190.919476,57250.0,57.595096473,79.0,865.33810127,131.0,27.069389313
11,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,24852,3926354.81,7758.0,506.10399716,3991594.0,0.9836558553,2719.0,123.58408238,5039.0,5.6281563802
12,ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,911,351156.4,572.0,613.90979021,46645.0,7.5282752707,381.0,84.587165354,191.0,6.6958115183
