,drugname_brand,drugname_generic,claim_count,total_spending,user_count,total_spending_per_user,unit_count,unit_cost_wavg,user_count_non_lowincome,out_of_pocket_avg_non_lowincome,user_count_lowincome,out_of_pocket_avg_lowincome
0,1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",3486,75786.01,1261.0,60.099928628,405484.0,0.1869184244,607.0,38.2423229,654.0,6.5012232416
1,ABACAVIR,ABACAVIR SULFATE,20895,10337212.78,5618.0,1840.0165148,1330356.0,7.7702605769,941.0,78.652306057,4677.0,0.72062647
2,ABELCET,AMPHOTERICIN B LIPID COMPLEX,465,585453.65,109.0,5371.1344037,59917.0,9.7710774905,61.0,561.52590164,48.0,17.95875
3,ABILIFY,ARIPIPRAZOLE,2572031,1758069618.1,376604.0,4668.2181233,82162175.539,21.667432043,66009.0,501.53306625,310595.0,21.23159085
4,ABILIFY DISCMELT,ARIPIPRAZOLE,4705,4529795.27,915.0,4950.5959235,192615.5,23.522216141,89.0,440.75595506,826.0,12.490230024
5,ABRAXANE,PACLITAXEL PROTEIN-BOUND,307,1592913.74,82.0,19425.777317,1623.0,981.46256315,30.0,1694.8156667,52.0,2.5211538462
6,ABSTRAL,FENTANYL CITRATE,127,253398.25,33.0,7678.7348485,9674.0,23.114383479,16.0,409.26375,17.0,23.654705882
7,ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,626,157277.65,392.0,401.2184949,31400.0,5.0087864065,216.0,98.067037037,176.0,7.2292613636
8,ACARBOSE,ACARBOSE,184107,12326109.8,35925.0,343.10674461,20814578.75,0.5916342075,17590.0,65.041949972,18335.0,6.9007319335
9,ACCOLATE,ZAFIRLUKAST,6331,855221.39,1494.0,572.4373427,447962.6,1.9088859386,830.0,225.23113253,664.0,14.501189759
10,ACCUNEB,ALBUTEROL SULFATE,53,3877.04,37.0,104.78486486,6972.0,0.5561373973,,,,
11,ACCUPRIL,QUINAPRIL HCL,7303,878680.62,1506.0,583.45326693,441427.0,1.989534289,1109.0,298.77763751,397.0,24.303526448
12,ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,675,85324.31,159.0,536.6308805,43212.5,1.9733523452,120.0,275.52266667,39.0,26.950512821
13,ACCUSURE,"SYRING W-NDL,DISP,INSUL,0.5 ML",80,1515.86,28.0,54.137857143,7430.0,0.2042433901,,,,
14,ACCUSURE,"SYRINGE AND NEEDLE,INSULIN,1ML",34,684.25,15.0,45.616666667,3330.0,0.2050702535,,,,
15,ACEBUTOLOL HCL,ACEBUTOLOL HCL,127305,3543151.64,21601.0,164.0272043,9912423.0,0.3587451823,17997.0,60.182903817,3604.0,10.921834073
16,ACEON,PERINDOPRIL ERBUMINE,936,103974.22,320.0,324.9194375,43000.0,2.4193153311,249.0,174.06184739,71.0,18.433098592
17,ACETAMINOPH-CAFF-DIHYDROCODEIN,DHCODEINE BT/ACETAMINOPHN/CAFF,3967,419976.92,1036.0,405.38312741,289497.0,1.4507125117,501.0,120.12407186,535.0,9.9708785047
18,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,2698378,35121853.47,1171519.0,29.979755744,165167483.89,0.2202911303,609034.0,13.718334871,562485.0,2.9309193312
19,ACETASOL HC,ACETIC ACID/HYDROCORTISONE,3097,565690.75,2403.0,235.4102164,39541.0,14.306435093,1564.0,29.207065217,839.0,2.1749463647
20,ACETAZOLAMIDE,ACETAZOLAMIDE,247398,15441098.39,81674.0,189.05769755,14412482.381,1.2034471923,49854.0,30.713292614,31820.0,4.5915851666
