,drugname_brand,drugname_generic,claim_count,total_spending,user_count,total_spending_per_user,unit_count,unit_cost_wavg,user_count_non_lowincome,out_of_pocket_avg_non_lowincome,user_count_lowincome,out_of_pocket_avg_lowincome
0,1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",10749,257895.63,5173.0,49.854171661,1335132.0,0.1932052642,2878.0,27.305271022,2295.0,3.9878910675
1,1ST TIER UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",2943,73396.65,1470.0,49.929693878,369886.0,0.1984304624,710.0,28.071929577,760.0,3.5107763158
2,ABACAVIR,ABACAVIR SULFATE,69216,24578834.46,9319.0,2637.4969911,4424163.0,5.5555897149,2046.0,236.94195992,7273.0,6.1463426372
3,ABACAVIR-LAMIVUDINE-ZIDOVUDINE,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,12216,16626213.8,1621.0,10256.763603,759933.0,21.87852587,377.0,945.15432361,1244.0,24.187427653
4,ABELCET,AMPHOTERICIN B LIPID COMPLEX,439,552847.75,102.0,5420.0759804,47600.0,11.614448529,68.0,303.14,34.0,31.55
5,ABILIFY,ARIPIPRAZOLE,1635610,1572428342.9,322582.0,4874.50739,47855047.388,33.122424767,53024.0,519.7772288,269558.0,16.497839018
6,ABILIFY DISCMELT,ARIPIPRAZOLE,2790,3735192.84,742.0,5033.9526146,102764.0,36.344483646,53.0,663.64735849,689.0,18.064644412
7,ABILIFY MAINTENA,ARIPIPRAZOLE,92211,148259378.06,14001.0,10589.199204,92724.39,1598.9989075,359.0,1131.7164903,13642.0,15.852520158
8,ABRAXANE,PACLITAXEL PROTEIN-BOUND,824,4481987.77,226.0,19831.804292,4478.0,1000.8905248,105.0,1324.6713333,121.0,8.3491735537
9,ABSORICA,ISOTRETINOIN,224,287388.53,106.0,2711.2125472,10540.0,27.192468308,58.0,375.19534483,48.0,14.100833333
10,ABSTRAL,FENTANYL CITRATE,838,7192140.53,172.0,41814.770523,96526.0,67.519882614,68.0,1807.4816176,104.0,50.072788462
11,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,29170,4292171.19,8976.0,478.18306484,4604905.0,0.9320868053,3190.0,113.11302821,5786.0,5.1412806775
12,ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,799,360520.84,452.0,797.61247788,42010.0,8.5817862414,302.0,110.99642384,150.0,13.940466667
13,ACARBOSE,ACARBOSE,205723,11872705.55,42221.0,281.20379787,25305946.37,0.4689840776,22454.0,89.787419613,19767.0,6.9757165984
14,ACCOLATE,ZAFIRLUKAST,1711,472524.13,361.0,1308.931108,150952.0,3.1299343455,217.0,345.38235023,144.0,23.442916667
15,ACCUPRIL,QUINAPRIL HCL,5762,1129256.33,1089.0,1036.9663269,387580.0,2.9136660143,903.0,335.85085271,186.0,33.892849462
16,ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,373,77105.43,91.0,847.31241758,27320.0,2.8230537793,72.0,333.76069444,19.0,46.864736842
17,ACEBUTOLOL HCL,ACEBUTOLOL HCL,124036,2755575.75,23590.0,116.81118058,10968286.0,0.2516650807,20411.0,58.861067072,3179.0,10.510861906
18,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,3678580,43790042.11,1721969.0,25.430215126,214268532.54,0.2071958673,983378.0,9.5207283161,738591.0,1.8141370122
19,ACETASOL HC,ACETIC ACID/HYDROCORTISONE,564,76243.0,462.0,165.02813853,5965.0,12.781726739,302.0,26.07807947,160.0,1.896375
20,ACETAZOLAMIDE,ACETAZOLAMIDE,300569,37170030.3,105306.0,352.9716284,17796028.428,2.1197598979,70981.0,48.449797411,34325.0,5.3128224326
21,ACETIC ACID,ACETIC ACID,56631,1211099.88,28896.0,41.912371262,40266511.9,0.9158193951,15314.0,13.23076466,13582.0,1.3812811073
22,ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,4633,272722.06,3348.0,81.458201912,284784.0,0.9576453031,2116.0,20.71471172,1232.0,1.4830762987
